imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_002	1	leaflet	0.25	1380	0	524960	8272	264000	174	321	159	319	167	319	259.04	170.922
Nz_002	2	leaflet	0.25	1380	316	524960	8272	61904	137	382	138	395	132	388	374.75600930473	103.263375549238
Nz_002	3	leaflet	0.25	1380	336	524960	8272	62704	197	382	199	395	203	387	373.696351109977	234.987496810411
Nz_002	4	leaflet	0.25	1380	616	524960	8272	22192	143	455	139	471	137	461	457.704397981254	120.003604902668
Nz_002	5	leaflet	0.25	1380	644	524960	8272	27728	197	466	191	479	200	474	470.118869013272	219.461627236007
Nz_002	7	leaflet	0.25	1380	952	524960	8272	10784	197	547	204	562	202	552	547.826409495549	214.378338278932
Nz_002	6	smallLeaflet	0.25	1380	1072	524960	8272	5968	163	579	162	583	166	581	578.651474530831	141.72654155496
Nz_002	8	bottomPoint	0.25	1380	1380	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	164	659
Nz_002	9	TopPoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	168	194
Nz_002	10	midPoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	256	279
Nz_002	11	midPoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	87	275
Nz_002	12	angePoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	203	314
Nz_002	13	angePoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	107	218
Nz_002	14	angePoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	130	312
Nz_002	15	angePoint	0.25	1380	NaN	524960	8272	0	NaN	NaN	NaN	NaN	NaN	NaN	218	223
