imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_004 copy	1	leaflet	0.25	298	0	33598	2066	15765	167	359	180	358	173	358	285.825309229305	171.827212178877
Nz_004 copy	3	leaflet	0.25	298	67	33598	2066	3672	199	413	199	422	203	416	397.954793028322	233.578431372549
Nz_004 copy	2	leaflet	0.25	298	63	33598	2066	3735	160	417	158	428	157	421	404.224364123159	124.244712182062
Nz_004 copy	4	leaflet	0.25	298	141	33598	2066	2254	149	491	151	503	148	497	492.558118899734	118.992901508429
Nz_004 copy	5	leaflet	0.25	298	138	33598	2066	2167	210	486	210	498	213	491	488.017997231195	240.942778034149
Nz_004 copy	6	leaflet	0.25	298	218	33598	2066	856	146	571	148	583	145	577	574.976635514019	126.608644859813
Nz_004 copy	7	leaflet	0.25	298	223	33598	2066	1078	202	587	206	576	206	583	587.206864564007	226.789424860853
Nz_004 copy	8	bottomPoint	0.25	298	298	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	177	652
Nz_004 copy	9	TopPoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	171	220
Nz_004 copy	10	midPoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	254	295
Nz_004 copy	11	midPoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	90	300
Nz_004 copy	12	anglePoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	207	337
Nz_004 copy	13	anglePoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	114	246
Nz_004 copy	14	anglePoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	131	338
Nz_004 copy	15	anglePoint	0.25	298	NaN	33598	2066	0	NaN	NaN	NaN	NaN	NaN	NaN	227	243
