imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_007 copy 3	1	leaflet	0.25	1296	0	524512	8356	224928	143	356	156	356	149	356	290.443377436335	152.69426660976
Nz_007 copy 3	2	leaflet	0.25	1296	240	524512	8356	69104	127	407	124	419	124	412	396.141236397314	88.1014123639731
Nz_007 copy 3	3	leaflet	0.25	1296	256	524512	8356	68208	177	403	182	414	181	406	389.43537414966	213.916490734225
Nz_007 copy 3	4	leaflet	0.25	1296	576	524512	8356	44832	120	485	118	497	118	490	477.960028551035	87.9739471805853
Nz_007 copy 3	5	leaflet	0.25	1296	576	524512	8356	20688	173	490	174	502	175	495	493.760247486466	197.989945862336
Nz_007 copy 3	6	leaflet	0.25	1296	924	524512	8356	19584	134	579	131	591	131	584	575.127450980392	112.095588235294
Nz_007 copy 3	7	leaflet	0.25	1296	964	524512	8356	12784	177	582	181	594	181	586	578.486858573217	195.123904881101
Nz_007 copy 3	8	bottomPoint	0.25	1296	1296	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	153	678
Nz_007 copy 3	9	TopPoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	147	228
Nz_007 copy 3	10	midPoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	226	301
Nz_007 copy 3	11	midPoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	77	305
Nz_007 copy 3	12	angePoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	184	341
Nz_007 copy 3	13	angePoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	97	255
Nz_007 copy 3	14	angePoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	109	340
Nz_007 copy 3	15	angePoint	0.25	1296	NaN	524512	8356	0	NaN	NaN	NaN	NaN	NaN	NaN	199	249
