imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Ox_33	1	leaflet	0.25	1560	0	324752	7316	135856	148	295	160	292	153	292	240.934872217642	153.457072194088
Ox_33	2	leaflet	0.25	1560	416	324752	7316	38784	124	370	119	381	120	373	360.26196369637	96.4698844884488
Ox_33	3	leaflet	0.25	1560	452	324752	7316	47024	192	369	204	373	197	369	346.136100714529	218.690711126233
Ox_33	5	leaflet	0.25	1560	840	324752	7316	16368	204	496	206	508	206	501	502.037145650049	225.976539589443
Ox_33	4	leaflet	0.25	1560	940	324752	7316	17632	133	501	122	507	128	502	487.269509981851	114.025408348457
Ox_33	6	bottomPoint	0.25	1560	1560	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	171	679
Ox_33	7	TopPoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	148	193
Ox_33	8	midPoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	210	240
Ox_33	9	midPoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	96	247
Ox_33	10	angePoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	185	280
Ox_33	11	angePoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	115	210
Ox_33	12	angePoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	113	277
Ox_33	13	angePoint	0.25	1560	NaN	324752	7316	0	NaN	NaN	NaN	NaN	NaN	NaN	187	202
